SampleID,bare_rock,bare_sand,bedrock,boulder,cobble,Relief_0_pt1,Relief_1_2,Relief_greater2,Relief_pt1_1,sand,sediment,shell_hash,Year,Longitude,Latitude,DeepestSurvey,MeanSST,NumbNearSites,Slope,Island_Mainland,LittoralDrift,ReefAreaRevised,SiteCode,SST,SST1,SST2,ENSO,ENSO1,ENSO2,settlement1,settlement2,ref_1980,ref_10yr,ref_5yr,calval_1980,calval_5yr,ref_notrain_1980,ref_notrain_5yr
112_2011,9.444166667,20,47.2225,22.22166667,6.944166667,10.83416667,6.665,22.7775,59.72333333,23.61,0,3.610833333,2011,-119.55051,34.05032,20.4,15.62,6,4.686159,Island,0,4283236.613,112,15.336,14.466,16.014,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,No,No,Yes,Test,Test,No,Yes
112_2012,6.388333333,14.72166667,70.555,9.165833333,3.054166667,9.445,24.72,25.27916667,40.55583333,17.2225,0,3.61,2012,-119.55051,34.05032,20.4,15.62,6,4.686159,Island,0,4283236.613,112,15.762,15.336,14.466,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,No,Yes,Test,Test,No,Yes
113_2004,4.125833333,40.89583333,34.4675,12.0925,7.9225,36.25,0,0.139166667,63.61083333,45.515,2.9175,3.094166667,2004,-119.64183,33.9832,15.9,16.16,4,4.565442,Island,0,20439751.03,113,16.902,16.356,15.73125,0.40775,0.448333333,0.577166667,202.4952452,596.8257782,No,No,No,Test,Test,No,No
113_2008,12.51833333,12.52833333,66.38833333,5.834166667,13.055,3.610833333,2.221666667,1.388333333,92.77916667,14.7225,0,0.2775,2008,-119.64183,33.9832,15.9,16.16,4,4.565442,Island,0,20439751.03,113,15.624,15.69,16.89,-0.686166667,-0.34275,0.301166667,465.6675193,510.6418485,No,No,No,Test,Test,No,No
113_2011,17.2225,25.83333333,44.72083333,23.61166667,13.88916667,5.833333333,10.2775,2.221666667,81.66583333,17.77833333,0,0.555,2011,-119.64183,33.9832,15.9,16.16,4,4.565442,Island,0,20439751.03,113,15.552,15.006,16.104,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,No,No,No,Test,Test,No,No
113_2012,11.11083333,18.055,61.94416667,9.166666667,9.443333333,5.276666667,6.388333333,0.555833333,87.77916667,19.445,0,0.555,2012,-119.64183,33.9832,15.9,16.16,4,4.565442,Island,0,20439751.03,113,16.548,15.552,15.006,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,No,No,Test,Test,No,No
114_2004,10.84166667,19.725,59.16583333,12.5,14.58166667,18.33416667,0.555833333,0.2775,80.83416667,13.75,5.420833333,0.695833333,2004,-119.55903,33.99283,20.1,16.04,7,2.788854,Island,0,20439751.03,114,16.308,16.008,16.08125,0.40775,0.448333333,0.577166667,202.4952452,596.8257782,No,No,No,Test,Test,No,No
114_2008,13.05416667,6.945,71.66583333,4.444166667,18.05416667,11.38833333,4.166666667,2.7775,81.6675,5.8325,0,1.388333333,2008,-119.55903,33.99283,20.1,16.04,7,2.788854,Island,0,20439751.03,114,15.954,15.546,16.59,-0.686166667,-0.34275,0.301166667,465.6675193,510.6418485,No,No,No,Test,Test,No,No
114_2011,12.44833333,18.04833333,55.00083333,20.83333333,15.55416667,17.7775,0.2775,0,81.94416667,8.610833333,0,2.7775,2011,-119.55903,33.99283,20.1,16.04,7,2.788854,Island,0,20439751.03,114,15.636,15.3,16.146,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,No,No,No,Test,Test,No,No
114_2012,7.2225,16.94333333,61.11166667,10,18.05583333,14.445,0.2775,0,85.2775,10.83333333,0,3.055,2012,-119.55903,33.99283,20.1,16.04,7,2.788854,Island,0,20439751.03,114,16.134,15.636,15.3,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,No,No,Test,Test,No,No
115_2004,8.014166667,5.1075,75.83416667,0,2.7775,45.83333333,0.9725,0.2775,52.91666667,21.39,0.406666667,3.044166667,2004,-120.33518,34.01647,18,14.15,4,2.933699,Island,0,28469275.62,115,14.52,14.322,14.016,0.40775,0.448333333,0.577166667,202.4952452,596.8257782,No,Yes,Yes,Test,Val,No,Yes
115_2008,7.221666667,2.776666667,92.77833333,0,4.166666667,18.88916667,6.39,0.833333333,73.8875,3.055,0,3.61,2008,-120.33518,34.01647,18,14.15,4,2.933699,Island,0,28469275.62,115,13.794,13.572,14.838,-0.686166667,-0.34275,0.301166667,465.6675193,510.6418485,No,Yes,Yes,Test,Test,No,Yes
115_2011,9.445,15.55666667,78.05666667,5.833333333,5.8325,23.3325,1.389166667,0,75.27833333,10.27833333,0,0.555,2011,-120.33518,34.01647,18,14.15,4,2.933699,Island,0,28469275.62,115,13.986,13.218,14.19,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,No,Yes,Yes,Test,Test,No,Yes
1_2008,8.8725,14.515,41.1275,33.87,12.9025,41.935,4.035,0,54.0325,12.0975,0,1.6125,2008,-118.33215,33.71762,10.5,16.81,8,2.255984,Mainland,0,2146056.919,1,16.704,16.692,17.154,-0.686166667,-0.34275,0.301166667,465.6675193,510.6418485,No,No,No,Test,Test,No,No
10_2011,39.22833333,10.52833333,87.77833333,2.5,5.2775,39.16583333,0,0,60.83416667,4.445,0,3.3525,2011,-120.12116,34.46804,14.3,15.59,0,2.412096,Mainland,8.842744,37664407.28,10,15.522,14.28,15.846,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,Yes,Yes,Yes,Cal,Cal,No,No
10_2012,16.38916667,6.944166667,87.77833333,1.110833333,10.2775,57.2225,0.2775,0,42.5,0.833333333,15.55583333,2.776666667,2012,-120.12116,34.46804,14.3,15.59,0,2.412096,Mainland,8.842744,37664407.28,10,15.66,15.522,14.28,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,Yes,Yes,Yes,Test,Test,Yes,Yes
100_2012,1.61375,8.46875,79.03375,15.725,1.61375,0,15.32375,1.21,83.46625,3.63,0,0,2012,-118.57756,32.96762,25,16.62,6,4.00635,Island,0,7855530.877,100,16.824,16.224,15.51,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,Yes,No,Test,Test,No,No
101_2012,0.8075,23.385,66.13,12.095,0.8075,3.2275,10.4825,12.0975,74.1925,20.9675,0,0,2012,-118.49825,32.9364,12.6,17.61,3,12.162027,Island,0,1587813.64,101,17.982,17.19,16.974,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,No,No,Test,Test,No,No
102_2008,13.5025,2.395,66.5275,14.44583333,16.80416667,21.25,8.889166667,0.416666667,69.44416667,2.2225,0.550833333,1.3875,2008,-119.56949,34.05384,18.9,15.62,6,5.529875,Island,0,4283236.613,102,15.66,15.072,16.23,-0.686166667,-0.34275,0.301166667,465.6675193,510.6418485,No,Yes,Yes,Test,Cal,No,No
102_2011,6.665833333,4.721666667,48.89,38.05416667,11.11083333,0.2775,15.6125,7.3275,76.78166667,1.944166667,0,1.665833333,2011,-119.56949,34.05384,18.9,15.62,6,5.529875,Island,0,4283236.613,102,14.922,14.91,15.618,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,No,Yes,Yes,Test,Test,No,Yes
102_2012,3.055833333,2.5,62.50083333,19.44333333,13.3325,0.2775,34.72333333,3.889166667,61.11083333,4.721666667,0,1.388333333,2012,-119.56949,34.05384,18.9,15.62,6,5.529875,Island,0,4283236.613,102,15.924,14.922,14.91,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,Yes,Yes,Test,Test,No,Yes
103_2004,4.031666667,4.043333333,55.27666667,22.22333333,12.2225,0.2775,10.55583333,1.5275,87.63916667,10.27833333,9.06,2.798333333,2004,-119.6029,34.04387,19.2,15.47,8,5.575708,Island,0,4283236.613,103,16.17,15.708,15.7625,0.40775,0.448333333,0.577166667,202.4952452,596.8257782,No,No,Yes,Test,Test,No,Yes
103_2008,5.833333333,3.888333333,71.665,17.22166667,8.889166667,0.2775,21.11166667,8.055,70.55583333,2.221666667,0,1.666666667,2008,-119.6029,34.04387,19.2,15.47,8,5.575708,Island,0,4283236.613,103,15.132,14.97,15.654,-0.686166667,-0.34275,0.301166667,465.6675193,510.6418485,No,No,Yes,Test,Val,No,Yes
103_2011,8.565833333,3.611666667,61.3875,34.7225,1.11,1.110833333,31.11,6.665833333,61.11166667,2.7775,0,0.2775,2011,-119.6029,34.04387,19.2,15.47,8,5.575708,Island,0,4283236.613,103,15.084,14.472,15.744,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,No,No,Yes,Test,Test,No,Yes
103_2012,5.278333333,3.054166667,76.38833333,16.66583333,3.888333333,0,25.83333333,6.665833333,67.50083333,3.055,0,0,2012,-119.6029,34.04387,19.2,15.47,8,5.575708,Island,0,4283236.613,103,15.54,15.084,14.472,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,No,Yes,Test,Test,No,Yes
104_2004,1.116666667,23.9475,54.30666667,5,1.6675,75.00333333,2.639166667,0,119.72,39.02833333,5.424166667,5.013333333,2004,-119.91427,34.05358,16.2,14.92,2,1.948709,Island,0,4758959.508,104,15.528,14.994,14.64,0.40775,0.448333333,0.577166667,202.4952452,596.8257782,Yes,Yes,Yes,Test,Cal,Yes,No
104_2008,0.2775,9.166666667,73.055,8.888333333,6.110833333,14.44416667,10.27666667,2.5,72.7775,11.945,0,0,2008,-119.91427,34.05358,16.2,14.92,2,1.948709,Island,0,4758959.508,104,14.688,14.958,15.414,-0.686166667,-0.34275,0.301166667,465.6675193,510.6418485,Yes,Yes,Yes,Cal,Test,No,Yes
104_2011,3.3325,8.609166667,71.11083333,13.055,11.11166667,8.3325,8.889166667,8.889166667,73.89,4.721666667,0,1.665833333,2011,-119.91427,34.05358,16.2,14.92,2,1.948709,Island,0,4758959.508,104,14.592,13.758,15.06,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,Yes,Yes,Yes,Test,Test,Yes,Yes
104_2012,3.056666667,4.7225,91.11083333,5.276666667,2.776666667,6.388333333,4.445,1.944166667,87.2225,0.833333333,0,0.555833333,2012,-119.91427,34.05358,16.2,14.92,2,1.948709,Island,0,4758959.508,104,15.066,14.592,13.758,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,Yes,Yes,Yes,Test,Test,Yes,Yes
105_2004,0.416666667,5.05,82.9225,9.861666667,3.055833333,1.528333333,16.2475,11.05666667,71.16666667,4.16,8.175833333,1.250833333,2004,-119.82489,33.94833,22,15.65,0,6.947967,Island,0,567020.5683,105,16.392,15.708,15.516,0.40775,0.448333333,0.577166667,202.4952452,596.8257782,Yes,Yes,Yes,Test,Test,Yes,Yes
105_2008,1.388333333,1.110833333,88.05583333,1.110833333,5.833333333,0,19.16583333,24.445,56.38916667,5.000833333,0,0,2008,-119.82489,33.94833,22,15.65,0,6.947967,Island,0,567020.5683,105,15.744,15.324,16.254,-0.686166667,-0.34275,0.301166667,465.6675193,510.6418485,Yes,Yes,Yes,Cal,Test,No,Yes
105_2011,5.2775,0.2775,85.27833333,8.333333333,5.833333333,1.388333333,14.99916667,20.2775,63.33333333,0.555833333,0,1.666666667,2011,-119.82489,33.94833,22,15.65,0,6.947967,Island,0,567020.5683,105,15.27,14.448,15.786,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,Yes,Yes,Yes,Test,Cal,Yes,No
105_2012,10.27666667,1.944166667,83.33416667,10.8325,3.055833333,1.944166667,16.11,11.11166667,70.83333333,2.7775,0,0.555,2012,-119.82489,33.94833,22,15.65,0,6.947967,Island,0,567020.5683,105,15.828,15.27,14.448,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,Yes,Yes,Yes,Test,Test,Yes,Yes
106_2004,7.088333333,7.658333333,59.58416667,22.22166667,5.695,7.7775,12.7775,6.665833333,72.77666667,12.5,13.045,1.546666667,2004,-119.82174,34.05645,16.8,15.21,2,12.954046,Island,0,13640826.26,106,15.828,15.426,15.06,0.40775,0.448333333,0.577166667,202.4952452,596.8257782,Yes,Yes,Yes,Test,Test,Yes,Yes
106_2008,1.110833333,2.2225,73.88916667,13.055,5.555833333,2.499166667,23.05416667,28.055,46.38916667,7.499166667,0.2775,0.555,2008,-119.82174,34.05645,16.8,15.21,2,12.954046,Island,0,13640826.26,106,15.114,14.706,15.564,-0.686166667,-0.34275,0.301166667,465.6675193,510.6418485,Yes,Yes,Yes,Test,Test,Yes,Yes
106_2011,4.731666667,3.3425,67.71083333,18.08416667,7.2325,1.944166667,16.1125,14.44416667,67.5,6.9725,0,3.898333333,2011,-119.82174,34.05645,16.8,15.21,2,12.954046,Island,0,13640826.26,106,14.94,14.268,15.3,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,Yes,Yes,Yes,Test,Test,Yes,Yes
